character,line
Joey, I can do that  yeah. How is Friday?
Phoebe, Done. Oh good  really?
Joey, Yeah!
Phoebe, Let's see!  Oh  you know who's great? Sandy Poophack.
Joey,  Poophack... 
Phoebe, Yeah... All right  well that rules out Lana Titweiller
Joey, 
Chandler,  Hey!
Monica, Hey!
Chandler, I've got good news!
Monica, You got out of the whole Tulsa thing?
Chandler, Okay  I have news. You don't have to move to Tulsa. You can stay here and keep your job.
Monica, It's great! How?
Monica, So you're gonna be gone four days a week?  No.
Chandler, I'm sorry  are you just used to saying that?
Monica, No. I can't be away from you for that long.
Chandler, Really?
Monica, Yeah  you're my husband. I'm not gonna live in a different state than you for 208 days out of the year.
Chandler, That's fast math! We could use you in Tulsa.
Monica, Honey  thanks for trying to figure out a way  but if you're going to Tulsa  I wanna go with you.
Chandler, Hey  you said that without gagging!
Monica, I know! 
Rachel,  Excuse me? Oh yeah? Well  up yours too! 
Ross, Who the hell was that?!
Rachel, Dr. Wiener.
Ross, Rach  you can't call people at three in the morning.
Rachel, Oh you know what  you sound just like his wife!
Ross, Was there anything you did wrong with Emma?
Rachel, Yes  of course there is! Okay? I'm not insane!
Ross, Well  what was it?
Rachel, Hiccups.
Ross, Rach  I told you  you can't call him every time any little thing comes up.
Rachel, Yeah well  not anymore I can't. He fired us! What are we gonna do? We have to find a pediatrician. Wait wait  Monica said that when you guys were growing up  you really liked your doctor. What was his name?
Ross, Dr. Gettleman? Yeah I know  I don't think that's a good idea. In fact  I think he's dead.
Rachel, Argh! Why does everything happen to me?!
Ross, Rach  I promise first thing tomorrow we'll find another doctor  but I gotta get up early and I'm not feeling all that well.
Rachel, What? What  do you mean you're not feeling well? What do you have? Is it Rubella? Because don't go near Emma  she has not had that shot.
Ross, You know? Come to think of it  it does feel Rubella-like! 
Rachel,    Wiener  Wiener  Wiener  Wiener!!!
Ross,  Rachel!!!
Rachel, Great! Now he's gonna know it was me!
Phoebe,  Hey!
Joey, Hey!
Phoebe, So how is this for our big double date tonight? 
Joey,  Oh my God!
Phoebe, Ooh  great! Just the reaction I was hoping for.
Joey, Yeah  so you found someone for me. You didn't forget?
Phoebe, Of course not! And you're gonna love Mary Ellen. She's really smart and cute and funny  and I can't tell you how I know this  but she' not opposed to threesomes. So tell me some about my guy.
Joey, No.
Phoebe, Come on  give me something. What's his name?
Joey, Mike.
Phoebe, Mike? Okay! What's his last name?
Joey, Damnit! Is there no mystery left in romance anymore!?
Phoebe, All right  we'll se you and Mike at the restaurant in a couple hours.
Joey, Why did I have to say Mike? I don't know a Mike! Why couldn't I have said...  There's no guy in there!
Rachel, It's impossible to find a good doctor. I mean  how do you know the good ones from the ones who are gonna push their penis against your knee?
Monica, Excuse me?
Chandler, I know what she's talking about.
Rachel, We've got to find a new pediatrician. Ross was getting sick last night  and I think Emma may have caught it.
Monica, Why don't you go see Dr. Gettleman?
Rachel, Ross said he died.
Monica, He didn't die. I saw his daughter last week. Said he was fine. Her on the other hand  botched Botox.
Rachel, Oh  great! Well  then I'm gonna take Emma to see him. I wonder why Ross said that he died.
Monica, Oh  maybe he was getting him confused with his childhood therapist.
Chandler, He saw a therapist?
Monica, Yeah  he used to have this recurring nightmare  just really freaked him out.
Rachel, Why? What was it?
Monica, That I was going to eat him.
Joey, MIKE!!!
Joey,  Okay! 
Joey, Everything is gonna be fine. Just follow my lead  okay? All you have to do is pretend to be Mike.
Joey, Atta boy!
Joey, Okay  look...
Phoebe, Joey  this is Mary Ellen Jenkins. So  Mike  how do you and Joey know each other anyway?
Joey,  From school.
Phoebe, Wow  you guys go way back then. So what are you up to these days?
Joey, Mike  'attorney at law'!
Joey, What? That's the kinda thing you usually run by me.
Phoebe, Wow  that's great! I liked that better than the law thing  so...
Joey, Which is why I waited until now to introduce you to Mike.
Joey, No  no  that's not what I meant. Let's get you a cocktail.
Monica, Hey!
Chandler, Hey!
Monica, What are you doing?
Chandler, Looking for restaurant jobs for you in Tulsa.
Monica, That's so sweet. Find anything?
Chandler, Slim Pickings.
Monica, Nothing  huh?
Chandler, No  'Slim Pickings'  it's a barbecue restaurant. They're looking for a cook. Actually 'cook' may be a bit of a stretch. They're looking for someone to shovel mesquite.
Monica, 'Slim Pickings'...That is so cheesy.
Chandler, 'So Cheesy' also has an opening.
Monica, Honey  that's okay. I actually know this woman  Nancy  who's a restaurant biz head-hunter. Maybe she'll know of something.
Chandler, Can I just say how much I appreciate you coming with me. When we get to Tulsa I'm taking you for a great dinner at 'Slim Pickings'. 'So Cheesy'? 'Whole Hog'? It's going to be tough to keep Kosher in Tulsa.
Monica,  Hi  Nancy. Hi  it's Monica Geller. I'm good. Listen  I'm looking for a job in Tulsa. Well yeah  my husband has been relocated...Because I love him! No  I don't want a job in New York. Javo  is looking? Oh my God! He asked for me personally? Oh my God! Oh  wow  this is really flattering  but I'm moving to Tulsa. Yeah  so if you would tell Javo  'I'll take it!'
Rachel, Hi  my name is Rachel Green  I have an appointment for Emma.
Ross, Thanks doctor.
Ross, You even have to ask?!    He is alive!
Phoebe, You know  it's so surprising that you and Joey have known each other for so long and I've never heard about you.
Joey, Yeah  that's because we had a bit of a falling out. Mike hit my mom with a car.
Joey, That's okay Mike  I have forgiven you. And now we're friends again everything's great!
Joey, Please  we're trying to have a conversation. 
Phoebe, What?!
Joey, What?!
Phoebe, Do you not know each other?
Joey,  Of course we do! Mike is playing a game that we used to play in high school. Yeah  where we pretend we don't know each other. We played all kinds of games.  Hey  remember the one where I punch you in the face for not being cool?!
Phoebe, Mike  let me ask you something. How many sisters does Joey have?
Joey, What are you doing? I said seven!   Argh!!!
Phoebe, Joey  why did you set me up with a stranger?
Joey, Because I forgot about our date  I'm so sorry.
Phoebe,  You are unbelievable! I spent so much time finding the perfect girl for you  you know. Mary Ellen is really smart and cute and loose.
Phoebe, Who are you kidding?  You just find some guy off the street for me? Oh God! This is humiliating!
Joey, Look Phoebe I'm so sorry! Hey  look  if you don't like this guy I can find you a better one.  Mike!! Mike!!
Phoebe, I'm out of here 
Joey,  You're leaving too?
Joey, Good night!
Chandler, Honey  we're leaving tomorrow you've still got a lot of packing to do.
Monica, You're right.  Maybe I shouldn't go.
Chandler, What?
Monica, So Nancy told me about this job at this great restaurant  Javo . It's just a little outside of Tulsa.
Chandler, How far outside?
Monica, Manhattan.
Chandler, And you're thinking of taking it?  So before you said being me with me was more important than any job  but I guess now it's old job   me   new job.
Monica, I'm gonna miss this hand! Okay I know it's a lot to ask  but oh my God Chandler  this is a once in a lifetime opportunity.
Chandler, What happened to 'you can't live without me four days a week'?
Monica, Well  if you really think about it  I mean four days is not that long. I mean  I see you Monday before you go to work  and I see you Thursday when you get back  and I always work late on Tuesdays  so really if you think about it  it's really just one day. And well  if we can't make it one day  we've got real problems my friend.
Chandler, I think you should take the job.
Monica, Really?
Chandler, Yeah. I know it must be important to you when you start chattering like a monkey.
Monica, That's the nicest anyone has ever said to me!
Ross, Hey!
Monica, How was the pediatrician?
Rachel, Oh  I really liked him.  Yeah  it was really  really  really good.
Ross, You promised you wouldn't say anything.
Rachel, I know.  Ross still sees his pediatrician!!!  I don't care!
Monica, Are you serious? You still see Dr. Gettleman?
Ross, He's a brilliant diagnostician!
Chandler, Diagnostician or boo-boo fixer?
Rachel, Ross  seriously! You've gotta go to an appropriate doctor.
Ross, Why? Why? I know it's a little weird  but hey  he's a great doctor  okay? He knows my medical history  and every time I go in there  he makes a big deal. 'Ah look  it's my favorite patient!'
Chandler, Does he say that before he sticks his thermometer in your touchy?
Ross, Hey  I seem to remember someone bringing his security blanket to college!
Chandler, That was not a security blanket! That was a wall-hanging!
Ross, It didn't spend much time on the wall!!!
Phoebe, Sure.
Phoebe, Why did you go along with that?
Phoebe, That's true.  Well  is anything you told me about yourself true?
Phoebe, Prove it.
Phoebe, That wouldn't stand in the way of a true pianist.
Phoebe, You are really good! I play a little guitar myself.
Phoebe, Uhuh.
Phoebe, Well  like acoustic folksy stuff. You know? But right now I'm working on a couple 'Iron Maiden' covers.
Phoebe, It's okay. Go ahead  ask me out.
Joey, 
Phoebe,  Oh  you just caught me off guard! Yeah  that would be nice.
Joey, Look at this. My two best friends!
Ross, Excuse me  I don't mean to be a jerk  but the baby with the rash came in after me.
Ross, With the circus? He's behind the elephant.
Ross, Yeah  that's how I know. I'm Ross by the way.
Ross, I am a single parent.
Ross, Well  let's say  I don't know  you met someone in the pediatrician's office.
Ross, Hmm  yeah.  Come on Ross jr. It's time to go in.
Ross, Hey  I helped you find Waldo!
Ross,  Oh good  you haven't left yet.
Monica, Where have you been?
Ross, I got held up at Dr. Gettleman's office. There was some guy that freaked everybody out.
Chandler, Well  you got here just in time. I really have to go buddy. 
Ross, Oh man.
Monica, Promise to call me when you land.
Chandler, Of course I will call you. I love you.
Monica, I love you too. 
Rachel, Okay  wow  wow  wow. Watch the tongue people  we've got a baby over here.
Phoebe, Bye Chandler.
Chandler, Awww.  Bye!
Rachel, Bye honey. 
Chandler,  What's the matter Joe?
Joey, I'm mad at you for leaving! You're nothing but a big leaver. Big leaver with a stupid suitcase.
Chandler, Any chance you are trying to pick a fight to make all this easier?
Joey, Dude  you see right thru me!!  
Chandler, Well  bye Mon  bye Ross  Rachel  bye Emma!
Phoebe, Okay  bye-bye!  Good trip! 
Monica,  Chandler  wait. It goes: Old job   new job   you. This is just something I have to do.
Chandler, I know.
Monica, I love you so much.
Chandler, I know that too. 
Chandler,  Don't worry  I'll be back before you know it. Yes it will be the same. Because I know  that's how. I promise.
Joey,  Double promise? Call me when you land.
Monica, Can I talk now?
Joey, Okay  bye. 
Monica, Joey?
Joey, He had to board.
Phoebe, Oh hey Ross oh I'm so glad someone's here could you zip me up?
Ross, sure.
Phoebe, Thank you. Can you believe no-one between my apartment and here offered to do that for me?
Ross, people  so why you all dressed up.
Phoebe, oh umm Mike's picking me up for a date.
Ross, oh yea now um how is that going  is it getting serious?
Phoebe, oh I dunno I dunno  you know I mean I like him but am I ready to take my grade a loins off the meat market.
Ross, you know I really admire your whole dating attitude  it's so healthy I'm always like is this moving to fast? Is this moving to slow? Where's this going?
Phoebe, yea you know you are a bit of a drama queen.
Ross, but you  your so much better off you just go from guy to guy having fun and never worrying that it terns into anything serious.
Phoebe, I wouldn't say never  you know there's that guy  well what about  ok well there's gotta be someone.
Ross, There isn't that's what I'm saying. 
Phoebe, Oh my god you're right.
Ross, I know and yet here you are all ready for the next date.
Phoebe, I can't believe I never realized this before  I'm in my thirty's and never been in a long-term relationship oh my god  what's wrong with me.
Ross, no  no  no there's nothing wrong with you I mean you don't strike me as the type of person that wants to get married anyway.
Phoebe, I wanna get married 
Ross, please don't cry because of me pheebs I don't know what I'm talking about  I've been divorced three times.
Phoebe, least you've been married  OH MY GOD! I wanna trade lives with Ross 
Phoebe, nothing  I'm excited about our date  Mike this is Ross Geller this is Mike Haaaaa 
Ross, I'm sorry I didn't catch.
Ross, Oh Ross Geller
Phoebe, uh huh  how do I look 
Ross, do you have a compact in your purse?
Phoebe,  No
Ross, you look great.
Monica,: hey Joey
Joey, Hey  this girl won't turn around and I can't tell whether she's hot or not  what do you think?
Monica,: Joey I am not going to objectify woman with you  but if her face is as nice as her ass woah mamma.
Joey, Alright thanks  Oh hey have you talked to Chandler?
Monica,: yeah he has to stay in Tulsa this weekend
Joey, how come?
Monica,: he has to work  there's some rush on the big  ah damn it one of these days I'm really gonna have to start listening when he talks about his job.
Joey, oh why don't you fly out there and surprise him.
Monica,: maybe I will go  yea will have a second honeymoon at the Tulsa romana.
Joey, oh and you know what you should bring the black see-through teddy with the attached garters. 
Monica,: how do you know I have one of those?
Joey, didn't till just now.
Joey, hot not hot  Hot!
Joey, I said I think you're hot and now I'm embarrassed.
Joey, that would've been better  I'll try that Hi I'm Joey.
Joey, look I don't usually ask out women that I meet in coffeehouses
Joey,  gesundheit
Joey, really  great  did I actually ask you?
Joey,  seriously Gunther you should see someone about that cold  if it gets much worse you could DIE! 
Ross, so how'd the date go?
Phoebe, well it was awful every time I thought about what you said I started crying.
Ross, So he hasn't called?
Phoebe, would you call this girl?  thanks-fo-r-a-love-ly-even-ing
Ross, now I feel terrible this is all my fault.
Phoebe, well you not what you should feel terrible about  this could have been my serious guy he was sweet and smart and funny. Do you know how hard it is to meet a guy like that?
Ross, We are a rare breed.
Joey, yeah and hey thanks again for letting me having that last piece of cake at the restaurant.
Joey, do you have any cake?
Joey,  AWCH! That's why.
Ross,  Hey Mike sorry to just drop by like this  can I come in?
Ross, I'm Ross  Phoebe's friend from the coffeehouse.
Ross, yeah I really  really need to talk to you about something.
Ross,  No
Ross, Damn super cuts!
Ross, oh no yeah  no Phoebe is great  but umm I'm an idiot look right before you guys went out I accidentally got her all upset.
Ross, yes  yeah I said something stupid about her never having had a serious relationship  but you should know she is so much fun  a wonderful person please don't blow her off.
Ross, well then I didn't need to bother you or the four other Mike Hanagens I bothered.
Ross, of course she has. if she'd never had a serious relationship I'd go round broadcasting it like some unstoppable moron.
Ross, yes  yes I did. and I will also say what I'm about to say Vis-�-vis the following Phoebe has never had a serious relationship since her. super-serious relationship with. Vicrum.
Ross, WHAT THAT'S A REAL NAME!
Chandler,  Oklahoma where the wind comes sweeping down the plane  STOP IT! Why couldn't they have sent me to Texas? 7 o clock maybe I'll hit the gym  who am I kidding pay-per-view porn.
Chandler, DO NOT DISTURB DO NOT DISTURB! Monica: 
Monica,: is everything all right?
Chandler, everything's great  just watching some regular television there  what a pleasant surprise. 
Monica,: I'm gonna go freshen up ok
Chandler, Ok honey. that was close.
Rachel, Hello
Monica,: Hey Rach its me ok I just got the Chandler's room and I caught him molesting himself.
Rachel, Oh that couldn't have been pretty. but you know guys do that.
Monica,: yea well the weird part is... he was getting off to a shark attack show!
Rachel, Nooooooooo!
Monica,: Yes! Chandler Watches Shark Porn!
Rachel, well watching sharks? Are you sure that's what he was doing?
Monica,: do you know how many times I've seen him jump up like that  believe me I know what he was doing.
Rachel, man sharks. I always knew there was something weird about that dude. But you promised to love him no matter what.
Monica,: what means if he gets like a disease or kills someone. not if he gets his jollys to jaws!
Rachel, Ah! You know what honey guys are just different  they like things that we can't understand  you know I once dated this guy who wanted to pretend he was an archeologist and I was a naughty cave woman that he unfroze from a block of ice.
Monica,: Eww are you talking about my bother.
Rachel, yeah I didn't disguise that very well did i.
Joey,  Hey
Rachel,  Hi
Joey, listen to this... I went out with this girl last night and half way through our date I realized I already slept with her.
Rachel, so basically you've slept with all the woman in New York and now you're just going around again.
Joey, well that's not even the weird part. I don't think she remembered sleeping with me.
Monica,: But you don't remember sleeping with her.
Joey, yeah but she should remember sleeping with me I am very memorable  you guys know.
Rachel, what  how do we know  we never slept with you.
Joey, and who's fault is that.
Monica,: what's the big deal  you forgot  she forgot  maybe you were having an off night
Joey, HEY! I never have an off night ok although sometimes when I'm a little bloated I don't feel very sexy BUT EVEN THEN I'M BETTER THEN MOST!
Monica,: Honey why don't you just let it go and ask her out again.
Rachel, yeah your both so slutty you don't even remember who you've slept with  you're made for each other.
Joey, Interesting. all right I'll go out with her again and try to get past it  OH SALT BLOATY!
Monica,: Joey  Joey.
Joey, What?
Monica,: you don't think sharks are sexy do you?
Joey, No.  wait a minute what was the little mermaid?
Phoebe, It's open.
Ross, Hey!
Phoebe, HEY! Mike called were going out again! YAY! YAY! 
Ross, YAY!  quick thing  I went to talk to Mike.
Phoebe, What? Wha-wha-wha-did you do ROSS!
Ross, oh boy you got mad at that part. I went over there to tell him how great you are but you know me BLAH  BLAH  BLAH  and I ended up telling him that.
Phoebe, WHAT!
Ross, umm. that you had a six year long relationship with a guy named Vicrum.
Phoebe, WHAT! WHY?
Ross, well he seemed to bum hard that you'd never been in a serious relationship.
Phoebe,  If you hadn't just had a baby with my best friend I swear to Lucifer a raber dog would be feasting on your danglers RIGHT NOW!
Ross, well Phoebe  I think you'll feel better when you know a little bit about Vicrum  His a Kite designer  and he used to date Oprah. 
Phoebe, I'm not going along with some lie you made Ross  No I'm just gonna be honest with him.
Ross, Good yeah just be honest with him.
Phoebe, yeah I've nothing to be ashamed of ok so I haven't been in a relationship that lasted longer then a month. Ok I haven't had a real boyfriend you know if he can't handle that he can leave. which he will and that's ok. so I'll just be alone forever you know alright I'll be. it'll be fine. it'll be fine. I'll go walking tours with widows and lesbians. Oh 
Ross, I'll get it
Phoebe, ok
Phoebe, Uh huh yeah  there's just something umm  there's something you should know  Vicrum just called.
Joey, Uh huh  sure  yeah. How can you not remember me?
Joey, How could you not remember that we slept together?
Joey, I dunno!
Joey, come on  come on  search your brain all right. it was  a certain amount of time ago  I was here you were here  we had sex  here  here  here NOT there. Anything?
Joey, my god woman! How many people do you have to had been with not to remember any of this?
Joey, Ooooooooooh  I slept with you! And you obviously remember me Hey! I still got it.  so were good.  I'll let myself out.
Phoebe, .and I said Vicrum you can't just call every time you get lonely you know  you  you gave up that right when you slept with Rachel.
Phoebe, yeah well  yeah you know Emma's birth certificate might say Geller but her eyes say Mookurgee.
Phoebe, I know but he call's and my heart goes to him. You know that bastard is one smooth talking free lance kite designer.
Phoebe, Oh.
Phoebe, ok I can't do this.
Phoebe, well there is no Vicrum  Ross made him up because I never really have been in a long-term relationship  I've never lived with a guy  and I've never even celebrated an anniversary so.  if that's too weird for you and you wanna leave I totally understand. In fact I'll close my eye's make it less awkward  You kissed me.
Phoebe, so you don't think I'm a total freak
Phoebe, I guess so  can I. can I think it's cool that you kiss me and also wanna kiss you again  and umm  be a little concerned about the magic markers.
Ross,  This is Vicrum.
Chandler, Hi honey I'm home!
Monica,: Hi  how was your flight? 
Chandler, oh it was great.
Monica,: Here why don't you sit down  get yourself comfortable because I.  have a little surprise for you.
Chandler, well  well  well it must be five in Tulsa because it's six o clock IN NY.C!
Monica,: Ok  This is how much I love you. 
Chandler,  Honey why am I watching a bunch of sharks swimming around.
Monica,: Is this not the good part? Do you want me to fast forward to something a little toothier.
Chandler, no I'm not quite sure you got the right movie that's all.
Monica,: Oh well this is the only one they had at our video store  but they did have something called crocodile killers. Or does it always have to be sharks?
Chandler, does what always have to be sharks.
Monica,: Honey look we can do something else  do you want me to get into the tub and thrash.
Chandler, What's going on?
Monica,: sweetie it's ok  I still love you  let me be a part of this.
Chandler, let ME be a part of this!
Monica,: I saw what you were doing in Tulsa. angry sharks turn you on!
Chandler, no they don't
Monica,: then why were you watching them and giving YOURSELF a treat.
Chandler, OH MY GOD! When you came in I switched the channel  I was just watching regular porn
Monica,: really?
Chandler, yeah just some good old fashion girl on girl American action.
Monica,: I cannot tell you how happy that makes me! 
Chandler, You are an amazing wife.  No really you're amazing you were actually gonna do this for me  I mean where do you find the strength and understanding over something like that.
Monica,: Im very  very drunk right now.
Joey,  see ordinarily I would talk to her  but my confidence is shaken did I sleep with her? Did I not sleep with her?
Phoebe, you know maybe this is a wake up call  about your whole dating attitude. Your in your thirty's and you've never had a serious relationship and you have never been in a long term relationship  here you go from woman to woman  meaningless experience to meaningless experience never even worrying that it doesn't tern into anything serious.
Joey, your right! I love my life!  I actually did sleep with her.
Phoebe, Oh hey you guys  I couldn�t get a reservation for the night of my birthday  so we have to do dinner Thursday night instead.
Joey, Thursday? But that�s Halloween.
Phoebe, So?
Joey,  So spooky  that�s all.
Ross, So  so  is Mike coming to dinner?
Phoebe, No! It�s my first birthday with a boyfriend  and he has to work. Uch  I get mad at him  but I think it�s a little to soon to show my true colors.
Rachel, Pheebs  I would make a reservation for five  because one of us has to stay home and watch Emma.  Which one of us should go to dinner?
Phoebe, Oh  Rachel!
Ross, Actually  um  I was thinking maybe both of us could go.
Phoebe, Oh  yay!
Ross, Thanks  I put a lot of extra thoughts on your gift.
Phoebe, Alright  okay  so we can all go now. That is fun. Hey  you know what? We all haven�t been together the six of us in such a long time.
Monica, What are you talking about? We�re all together right now.
Rachel, Um  Mon  Chandler�s not here.
Monica, Oh  dear god!
Chandler, Good morning everyone  it�s nice to see our team together for the first time. Now  before we get started  are there any questions?  Yes  Ken is it?
Chandler,  Well  don�t believe everything you hear  Ken.  But yeah  that�s true. Alright  let�s get started  by take a look at last quarter�s figures.  Ah  Claudia  aren�t you supposed to blow smoke up the bosses� ass?
Chandler, No  no  no-no-no. I smoked for years  then I quit. Right now  I can�t remember why.  You�re not allowed to smoke in this office. Not right?
Chandler, Alright  lo�look. I don�t smoke anymore. But if the rest of you want to light up  go ahead  it�s fine.  So you all smoke then? That�s almost rude  that I�m not.
Chandler,  Ken  please! No  I can�t  I can�t smoke. If I smoke  my wife would kill me.
Chandler, I always liked you  Ken. 
Phoebe,  Trick or treat! 
Monica,  Hey!
Phoebe, Ooh  and treat it is. 
Monica, Hmhmm. 
Phoebe, Wow  so glad I changed. Almost wore my ??? outfit that can�t contain my breasts.
Monica, This is not  what I�m wearing. I�m ovulating and Chandler�s gonna be home any minute  so I thought we would try before dinner.
Phoebe, Ohh. Oh wait!  you guys won�t be late for my dinner  will you?
Monica, Believe me  Chandler and I have not seen each other in over a week. We�ll probably be the first ones there.
Phoebe, �kay  see you there. Happy humping!  Hey�hey! Oh  wow  somebody smoked out here? Oh my god  don�t people know  you�re not allowed to smoke in public spaces?
Chandler, Actually  in Oklahoma smoking is legal in all commune areas and offices with fewer than fifteen people.
Phoebe, You smoked!
Chandler, No! I just happened t�do a lot trivias about smoking in different states. For example  in Hawaii cigarettes are called Leyhallalookoos.
Phoebe,  Chandler  you stink of cigarettes.
Chandler, Uch  do you think  Monica is gonna be able smell it?
Phoebe, Are you kidding? The woman has the nose of a bloodhound � and the breasts of a Greek goddess.
Chandler, Pheebs?
Phoebe,  I�m gonna go. 
Chandler,  Okay  something to cover the smell � Oven cleaner!  Unscented!
Monica,  Welcome home. I�ve missed you. join me in the bedroom?
Chandler, No thanks  I�m good.
Monica,  O-kay  so you wanna play it that way  do you?
Chandler,  Right. You know what? Actually I just get off the plane  so I�m feeling kinda gross. Maybe I should just take a shower.
Monica, You don�t need a shower.
Chandler,  Alright  the truth is  I soiled myself during some turbulences.
Monica, What do I smell?  I smell smoke. Huh�did you smoke?
Chandler, Yes  but I just had one. Two. Two tiny cigarettes. Okay  five. A pack. Two pack�a�a carton. Three big fat cartons in two days.  But it�s over  I made a decision  I�m not gonna smoke anymore.
Monica, 
Chandler, But  those are for you.
Ross, Alright  we�ll just  uh  see when you get here. Bye.  Huh  that was my mom  she�s stuck in terrible traffic.
Rachel, Okay  well that�s now the third sign that I should not leave Emma.
Ross, Oh  what were the other two?
Rachel, Well  let�s see. The first one is: I don�t want to. And  you know  I�m not going.
Ross, I know  it�s the first time  we�re leaving the baby and � hey  I know how hard it is for you  but � but Emma is gonna be fine. My mom is gonna be with her. She�s great with kids.
Rachel, She is?
Ross, Ya.
Rachel, What about  Monica.
Ross, Hey  you only heard Monica�s side of that. That little fatso was a terror.
Rachel, Ish. I just don�t think I can bear it.
Ross, Rachel  I know that you can. And you should.
Rachel, Uch.
Ross, Really  it would be good for you and in fact  why don�t you  why don�t you go ahead to the restaurant and I will wait for my mom and then I�ll meet you there.
Rachel, Oh-A.
Ross, No  no  really. You should go. Just go! Go! Go out! Really  the world is your oyster. Kick up the heels. Paint the town red. 
Rachel, You need to learn some new slang.
Ross, I�m serious. C�mon  you should go. Here.  No  uh-uh  just go.
Rachel, What � Oh! 
Ross, No! No  you know what?  You    the baby�s fine  now squam . Yeah   story walking. 
Rachel, I was just going to say that I left my keys.
Ross, Oh   holy molly are we in a pickle now.
Phoebe, Where is everyone? They�re forty minutes late.
Joey, I know  u-uch.
Phoebe, I�m starving. I know we were coming here tonight  I ate nothing all day.
Joey, What about me  he? Only had one lunch today.
Phoebe, Yes  they are expected presently. Yeah  yeah um  their arrival is in the offing.
Joey, No  they�re comin�  we�re waitin� right here.
Phoebe, Joseph!  Thou needn�t worry  they shan�t be long.
Phoebe, One really does have a stick up one�s ass. Doesn�t one?
Monica, How can you smoke in this day of age? Do you not seen that ad with a little kid walks to grandpa  it�s chilling.
Chandler, I messed up  it was a meeting  everybody was smoking.
Monica, So what? Don�t you have any will power?
Chandler, Will power? I�ve watch home movies of you eating ding-dongs  without taking the tin foil off.
Monica, You said that was sexy!
Chandler, �kay  look: Can we just drop this? I�m not gonna smoke again.
Monica, That�s right  because I forbid you to smoke again.
Chandler, You forbid me?
Monica, Mhmm.
Chandler, You know  I flew a long way t see my loving wife? Is she here by the way?
Monica, Don�t joke  with me  okay? I�m very  very upset right now.
Chandler, Oh  would you say this was the most upset you could be?
Monica, Yes.
Chandler, Then  I might as well �  do this . Not really sure what to do now.
Monica, Well  I�ll tell you what we�re gonna do: We are already late for Phoebe�s birthday dinner  so you point out put out that cigarette  we�re gonna put this fight on hold and go have sex.
Chandler, Fine. What!?
Monica, Sex! This is the last day I�m ovulating  and when we don�t do it now  we�ll have to wait till next month. 
Chandler, You serious? 
Monica, Oh yeah!
Chandler, Right  fine  I�ll do it  but no talking.
Monica, Huh  and no cuddling.
Chandler, And no kissing your neck.
Monica, Oh good  I hate it when you do that
Chandler, And lots of kissing your neck.
Ross, Okay  well the ??? is not home.
Rachel, No. Uch.
Ross, Oh-oh  wait  my mother is gonna be here any minute. And she has the keys.
Rachel, Alright  I can�t  I can�t wait that long. You have to do something�knock that door down!
Ross, I would  but I bruise like a peach. Besides  y�you know  everything is gonna be fine. The baby�s sleeping.
Rachel, What if she jumped out the bassinet?
Ross, Can�t hold her own head up  but yeah jumped.
Rachel, Oh my god  I left the water running.
Ross, Rach you did not leave the water running. Please  just pull yourself together  okay?
Rachel, Ah  did I leave the stove on?
Ross, You never cooked since 1996. 
Rachel, Is the window open? Because if there�s a window open  a bird could fly in there.
Ross, Oh my god  you know what  yeah  I think you�re right. I think � listen  listen!
Rachel, Ubb.
Ross, A pigeon  a pigeon.  No  no wait  no-no  an eagle flew in. Landed on the stove and caught fire. The baby  seeing this  jumps across the apartment to the mighty bird�s aid. The eagle  however  misconstrues as an act of aggression and grabs the baby on its talon. Meanwhile the faucet fills the apartment with water. Baby and bird still up lays  are locked in a death grip  swirling around the whirl pool  that fills the apartment.
Rachel, Boy  are you gonna be sorry if that�s true.
Joey, Maybe we should just eat now.
Joey, Wha-a how about this: Another table leaves  right? But there�s still some food left on their place  okay  what�s the restaurant�s policy about people eatin� that?
Joey, But it happens?  I�m gotta go to the bathroom.
Phoebe, No  you can�t go. No-no-no  I can�t hold this table on my own. If they ask me to move  I cave.
Joey, If you ask me to stay  I�ll pee. 
Phoebe, Okay  fine  I�ll move. Alright  you don�t have to manhandle me.  Where?  Okay. Thank you. Wach.
Joey,  Finally you guys made it.  Pheebs  who the hell�uhuhh!
Monica, Spend more time with the tie. That�ll make a baby.
Chandler, Look  I can�t do this. I can�t make luv to you while we�re fighting this way.
Monica, Oh sure  now you�re Mister Sensitivity. But when you wanted to have sex right after my uncle�s funeral
Chandler, That was a celebration of life. Alright  look  I�m not gonna do this. Alright  is this really the way you want a baby to be conceived?
Monica, No  you�re right. Mnya  we shouldn�t do it like this. Huch. For what it�s worth  I�m  I�m sorry. I shouldn�t have come down on you so hard about the smoking. So you had a few cigarettes  not the end of the world.
Chandler, Mean it?
Monica, Yah.
Chandler, You are incredible. Unless  I�I�m not gonna smoke again. And if I do  I promise  I will hide it so much better from you. 
Monica, D�you want to?
Chandler, Yeah  let�s celebrate life!
Monica, �kay.
Rachel, Och  god.  Oh  thank god  you�re okay. I�m so sorry we left you. Mom never gonna leave you again. Never ever ever again. Uch.
Ross, Great. So let�s get going?
Rachel, Oh no. I mean it. After what just happened  I�m never leaving her again.
Ross, Somehow over time it got easier to be apart from you.
Chandler, Uhh. You are welcome.
Monica, You know what? Let�s not talk.
Chandler, What?
Monica, Uch. I am still so mad at you for smoking.
Chandler, But you said you forgave me. It was just a couple of cigarettes�no big deal.
Monica, Oh  blablablabaybaybay.
Chandler, Leave it.
